Annee;Diplôme;Numéro de l'établissement;Établissement;Établissement actuel;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;Taux d'emploi;Taux d'emploi salarié en France;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC;Id_Paysage
2017;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;112;61;57;92;;;72;58;83;1500;23400;33;7.1;2120;46;35;89;1620;2620;Paris 3 - Sorbonne Nouvelle_18;disc06_18;8k883
2017;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;112;61;57;91;;;80;66;87;1800;28100;33;7.1;2120;57;35;89;1620;2620;Paris 3 - Sorbonne Nouvelle_30;disc06_30;8k883
2017;MASTER ENS;0755890V;Sorbonne Université;;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;;128;53;100;99;;;98;97;95;1820;28300;16;7.1;2120;96;6;86;1620;2620;Sorbonne Université_30;disc18_30;bxPQe
2017;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;10;62;1;ns;;;ns;ns;ns;ns;ns;26;7.1;2120;ns;ns;ns;1620;2620;Sorbonne Université_30;disc01_30;bxPQe
2017;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;78;64;11;99;;;93;89;99;2400;37400;26;7.1;2120;93;15;9;1620;2620;Sorbonne Université_18;disc16_18;bxPQe
2017;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;67;62;10;96;;;100;79;100;2340;36500;26;7.1;2120;98;8;32;1620;2620;Sorbonne Université_18;disc17_18;bxPQe
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;97;59;15;97;;;98;89;99;2400;37400;27;7.1;2120;89;10;58;1620;2620;Université de Paris_30;disc01_30;5cZyU
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;246;68;33;98;;;97;81;98;2440;38100;27;7.1;2120;89;16;46;1620;2620;Université de Paris_30;disc12_30;5cZyU
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;101;71;13;90;;;99;52;97;2120;33100;27;7.1;2120;91;26;68;1620;2620;Université de Paris_18;disc13_18;5cZyU
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;101;71;13;99;;;97;70;96;2390;37300;27;7.1;2120;90;26;68;1620;2620;Université de Paris_30;disc13_30;5cZyU
